Designator,Mid X,Mid Y,Layer,Rotation
C1,  6.35,  3.05, Top, 180
C2,  3.30,  6.35, Top, 270
C3, 13.34,  9.53, Top,   0
R1, 10.16,  6.35, Top,  90
R2, 10.16,  8.89, Top,   0
R3, 17.14,  7.62, Top,   0
U1, 13.34,  6.35, Top,   0
XT1,  6.35,  6.35, Top,  90
