Comment,Designator,Footprint,LCSC Part #
18p,C1 C2,0603,C1647
100n,C3,0603,C14663
1M,R1,0603,C22935
220,R2,0603,C22962
22,R3,0603,C23345
SN74LVC2GU04DBVR,U1,SOT-23-6,C139427
28.375MHz,XT1,3225,C20618000
